torch.Size([20, 3, 1080, 1080]) torch.Size([20])
torch.Size([20, 3, 1080, 1080]) torch.Size([20])
499
125

Epoch: 0
Train Epoch:0---Loss: 0.695 | Acc: 76.000% (608/800)
Train Epoch:0---Loss: 0.607 | Acc: 77.750% (1244/1600)
Train Epoch:0---Loss: 0.593 | Acc: 78.042% (1873/2400)
Train Epoch:0---Loss: 0.570 | Acc: 78.562% (2514/3200)
Train Epoch:0---Loss: 0.562 | Acc: 78.725% (3149/4000)
Train Epoch:0---Loss: 0.550 | Acc: 78.896% (3787/4800)
Train Epoch:0---Loss: 0.543 | Acc: 78.768% (4411/5600)
Train Epoch:0---Loss: 0.536 | Acc: 78.938% (5052/6400)
Train Epoch:0---Loss: 0.531 | Acc: 79.083% (5694/7200)
Val Epoch:0---Loss: 0.499 | Acc: 78.875% (631/800)
Val Epoch:0---Loss: 0.487 | Acc: 80.125% (1282/1600)

Epoch: 1
Train Epoch:1---Loss: 0.476 | Acc: 82.250% (658/800)
Train Epoch:1---Loss: 0.489 | Acc: 80.875% (1294/1600)
Train Epoch:1---Loss: 0.491 | Acc: 80.708% (1937/2400)
Train Epoch:1---Loss: 0.488 | Acc: 80.781% (2585/3200)
Train Epoch:1---Loss: 0.491 | Acc: 80.175% (3207/4000)
Train Epoch:1---Loss: 0.491 | Acc: 80.188% (3849/4800)
Train Epoch:1---Loss: 0.493 | Acc: 80.071% (4484/5600)
Train Epoch:1---Loss: 0.490 | Acc: 80.156% (5130/6400)
Train Epoch:1---Loss: 0.489 | Acc: 80.097% (5767/7200)
Val Epoch:1---Loss: 0.486 | Acc: 78.375% (627/800)
Val Epoch:1---Loss: 0.476 | Acc: 79.250% (1268/1600)

Epoch: 2
Train Epoch:2---Loss: 0.488 | Acc: 79.375% (635/800)
Train Epoch:2---Loss: 0.486 | Acc: 79.875% (1278/1600)
Train Epoch:2---Loss: 0.476 | Acc: 80.667% (1936/2400)
Train Epoch:2---Loss: 0.476 | Acc: 80.656% (2581/3200)
Train Epoch:2---Loss: 0.472 | Acc: 80.950% (3238/4000)
Train Epoch:2---Loss: 0.481 | Acc: 80.146% (3847/4800)
Train Epoch:2---Loss: 0.482 | Acc: 80.125% (4487/5600)
Train Epoch:2---Loss: 0.480 | Acc: 80.328% (5141/6400)
Train Epoch:2---Loss: 0.480 | Acc: 80.236% (5777/7200)
Val Epoch:2---Loss: 0.489 | Acc: 78.750% (630/800)
Val Epoch:2---Loss: 0.480 | Acc: 79.188% (1267/1600)

Epoch: 3
Train Epoch:3---Loss: 0.478 | Acc: 80.625% (645/800)
Train Epoch:3---Loss: 0.491 | Acc: 80.188% (1283/1600)
Train Epoch:3---Loss: 0.479 | Acc: 80.875% (1941/2400)
Train Epoch:3---Loss: 0.475 | Acc: 80.688% (2582/3200)
Train Epoch:3---Loss: 0.482 | Acc: 79.950% (3198/4000)
Train Epoch:3---Loss: 0.480 | Acc: 80.000% (3840/4800)
Train Epoch:3---Loss: 0.479 | Acc: 80.018% (4481/5600)
Train Epoch:3---Loss: 0.479 | Acc: 79.969% (5118/6400)
Train Epoch:3---Loss: 0.478 | Acc: 80.153% (5771/7200)
Val Epoch:3---Loss: 0.487 | Acc: 78.875% (631/800)
